id1,id2,is_true_match,classification
playtime_203,sales_9198,,
playtime_203,sales_4907,,
playtime_203,sales_4447,,
playtime_203,sales_3099,,
playtime_203,sales_10832,,
playtime_203,sales_2762,,
playtime_203,sales_12546,,
playtime_203,sales_15708,,
playtime_204,sales_10001,,
playtime_204,sales_11219,,
playtime_204,sales_6470,,
playtime_204,sales_12202,,
playtime_204,sales_4677,,
playtime_204,sales_7784,,
playtime_204,sales_6772,,
playtime_204,sales_772,,
playtime_204,sales_9859,,
playtime_204,sales_8173,,
playtime_206,sales_11116,,
playtime_207,sales_7446,,
playtime_207,sales_5964,,
playtime_207,sales_8003,,
playtime_207,sales_10821,,
playtime_207,sales_13824,,
playtime_207,sales_6293,,
playtime_207,sales_8116,,
playtime_207,sales_15821,,
playtime_207,sales_9201,,
playtime_207,sales_795,,
playtime_208,sales_7446,,
playtime_208,sales_13824,,
playtime_208,sales_5964,,
playtime_208,sales_10821,,
playtime_208,sales_8003,,
playtime_208,sales_6293,,
playtime_208,sales_15821,,
playtime_209,sales_14212,,
playtime_209,sales_12763,,
playtime_209,sales_15066,,
playtime_209,sales_6087,,
playtime_209,sales_6622,,
playtime_209,sales_7931,,
playtime_209,sales_4158,,
playtime_209,sales_8726,,
playtime_209,sales_6253,,
playtime_209,sales_8145,,
playtime_211,sales_11337,,
playtime_211,sales_7819,,
playtime_212,sales_7819,,
playtime_212,sales_11337,,
playtime_215,sales_12400,,
playtime_215,sales_5119,,
playtime_215,sales_12416,,
playtime_215,sales_4202,,
playtime_215,sales_8579,,
playtime_215,sales_8131,,
playtime_215,sales_3155,,
playtime_215,sales_3391,,
playtime_215,sales_7134,,
playtime_215,sales_2713,,
playtime_218,sales_2203,,
playtime_218,sales_16290,,
playtime_220,sales_7865,,
playtime_220,sales_5887,,
playtime_220,sales_15896,,
playtime_220,sales_4688,,
playtime_220,sales_15183,,
playtime_220,sales_4337,,
playtime_220,sales_5324,,
playtime_220,sales_5081,,
playtime_221,sales_8704,,
playtime_221,sales_6822,,
playtime_221,sales_7120,,
playtime_221,sales_6238,,
playtime_221,sales_9758,,
playtime_221,sales_7601,,
playtime_221,sales_9534,,
playtime_221,sales_10295,,
playtime_221,sales_5655,,
playtime_221,sales_9578,,
playtime_222,sales_6822,,
playtime_222,sales_8704,,
playtime_222,sales_7120,,
playtime_222,sales_6238,,
playtime_222,sales_9578,,
playtime_222,sales_10366,,
playtime_222,sales_9927,,
playtime_222,sales_7794,,
playtime_222,sales_9534,,
playtime_222,sales_9758,,
playtime_223,sales_6238,,
playtime_223,sales_7120,,
playtime_223,sales_8704,,
playtime_223,sales_6822,,
playtime_223,sales_7001,,
playtime_223,sales_6832,,
playtime_223,sales_6874,,
playtime_223,sales_10226,,
playtime_223,sales_4352,,
playtime_223,sales_2024,,
