id1,id2
playtime_102,metacritic_12443
playtime_102,metacritic_11354
playtime_102,metacritic_12452
playtime_102,metacritic_9753
playtime_102,metacritic_11680
playtime_102,metacritic_12533
playtime_103,metacritic_12443
playtime_103,metacritic_12452
playtime_103,metacritic_11354
playtime_103,metacritic_9753
playtime_103,metacritic_11680
playtime_103,metacritic_8606
playtime_103,metacritic_6031
playtime_103,metacritic_12533
playtime_103,metacritic_2037
playtime_105,metacritic_14197
playtime_105,metacritic_8311
playtime_105,metacritic_1541
playtime_105,metacritic_13668
playtime_105,metacritic_7832
playtime_105,metacritic_7267
playtime_105,metacritic_1124
playtime_105,metacritic_12475
playtime_105,metacritic_1385
playtime_105,metacritic_11835
playtime_106,metacritic_1657
playtime_107,metacritic_7073
playtime_107,metacritic_3910
playtime_107,metacritic_10574
playtime_107,metacritic_14530
playtime_107,metacritic_2380
playtime_107,metacritic_14151
playtime_107,metacritic_664
playtime_107,metacritic_8554
playtime_107,metacritic_9103
playtime_107,metacritic_12499
playtime_108,metacritic_10830
playtime_108,metacritic_8242
playtime_108,metacritic_12592
playtime_108,metacritic_5659
playtime_108,metacritic_10202
playtime_108,metacritic_4691
playtime_108,metacritic_11617
playtime_108,metacritic_6799
playtime_108,metacritic_10491
playtime_108,metacritic_8825
playtime_110,metacritic_1448
playtime_110,metacritic_2851
playtime_110,metacritic_5709
playtime_110,metacritic_184
playtime_110,metacritic_7374
playtime_110,metacritic_183
playtime_110,metacritic_4778
playtime_111,metacritic_3910
playtime_111,metacritic_13346
playtime_111,metacritic_328
playtime_111,metacritic_5038
playtime_111,metacritic_7522
playtime_111,metacritic_11019
playtime_111,metacritic_947
playtime_111,metacritic_14530
playtime_111,metacritic_10525
playtime_111,metacritic_8554
playtime_114,metacritic_10423
playtime_118,metacritic_5709
playtime_118,metacritic_7374
playtime_119,metacritic_13055
playtime_119,metacritic_2393
playtime_119,metacritic_14132
playtime_119,metacritic_7083
playtime_120,metacritic_5843
playtime_120,metacritic_5989
playtime_120,metacritic_13277
playtime_120,metacritic_4721
playtime_120,metacritic_3210
playtime_120,metacritic_12989
playtime_120,metacritic_3786
playtime_120,metacritic_14389
playtime_120,metacritic_2189
playtime_120,metacritic_4777
playtime_121,metacritic_5989
playtime_121,metacritic_5843
playtime_121,metacritic_13067
playtime_121,metacritic_11431
playtime_121,metacritic_14369
playtime_121,metacritic_13118
playtime_121,metacritic_771
playtime_121,metacritic_13312
playtime_121,metacritic_14420
playtime_122,metacritic_13277
playtime_122,metacritic_10188
playtime_122,metacritic_12984
playtime_122,metacritic_14606
playtime_122,metacritic_5843
playtime_122,metacritic_4074
playtime_122,metacritic_7548
playtime_122,metacritic_6865
playtime_122,metacritic_10394
playtime_122,metacritic_5253
playtime_123,metacritic_13277
playtime_123,metacritic_10188
